station,n,baseline_mae,xgb_delta_cluster_v3_mae,gain,alpha,base_eps,adaptive_eps
28138,306,1.8362745098039215,1.8295769017299306,0.0066976080739908905,0.003647389340881318,0.005,0.006959844978024748
29231,365,1.4005479452054792,1.3945158645031617,0.006032080702317533,0.004306943380958333,0.005,0.006959844978024748
24944,364,1.3057692307692306,1.3001173532721433,0.005651877497087288,0.004328389246664786,0.005,0.006959844978024748
23472,365,1.5046575342465756,1.49957325981898,0.005084274427595625,0.003379024337349605,0.005,0.006959844978024748
27947,327,1.0553516819571866,1.0508675875243323,0.0044840944328543575,0.004248910111687554,0.005,0.020444106584392007
31510,365,1.0249315068493152,1.0210382388173667,0.00389326803194856,0.0037985641049484743,0.005,0.006959844978024748
30230,365,1.2435616438356165,1.2399556122146778,0.0036060316209387544,0.002899761052308097,0.005,0.009404792823161588
28064,365,0.9076712328767123,0.906303323076066,0.001367909800646272,0.0015070542627102002,0.005,0.006959844978024748
27199,365,0.8153424657534247,0.8141067602573766,0.0012357054960481229,0.0015155662165912795,0.005,0.006959844978024748
34123,365,0.6342465753424658,0.6331494684117425,0.0010971069307232906,0.0017297798259784062,0.005,0.010674808355902309
28224,321,1.0457943925233646,1.0447079541397026,0.0010864383836619584,0.0010388642274515598,0.005,0.006959844978024748
34391,365,0.9169863013698628,0.916459966842404,0.0005263345274587605,0.0005739829773601662,0.005,0.006959844978024748
28434,364,1.2494505494505495,1.2494443718488533,6.177601696188972e-06,4.9442546557009365e-06,0.005,0.006959844978024748
24738,364,1.4505494505494505,1.4509287850748671,-0.00037933452541660806,0.0,0.005,0.017718480465531088
23205,364,1.0483516483516482,1.0493328106118676,-0.0009811622602193815,0.0,0.005,0.0072072784159522875
22887,364,0.9054945054945056,0.907086539813295,-0.0015920343187894037,0.0,0.005,0.006959844978024748
27459,365,0.9583561643835615,0.9601889177433801,-0.0018327533598185841,0.0,0.005,0.007760141009460908
27037,365,0.6586301369863014,0.6618967656622049,-0.003266628675903549,0.0,0.005,0.006959844978024748
29430,365,0.6326027397260273,0.6360637124147814,-0.003460972688754116,0.0,0.005,0.007906061217684848
22550,365,0.717808219178082,0.7213033269852565,-0.0034951078071744357,0.0,0.005,0.008706166113126409
23724,365,1.0712328767123287,1.075856720411234,-0.004623843698905228,0.0,0.005,0.006959844978024748
23921,364,1.3782967032967033,1.3835684041306666,-0.005271700833963333,0.0,0.005,0.007169292062699748
23418,364,1.074725274725275,1.0805933537098238,-0.005868078984548886,0.0,0.005,0.006959844978024748
34646,327,0.8348623853211009,0.840782175084935,-0.005919789763834116,0.0,0.005,0.006959844978024748
30054,365,1.0723287671232877,1.07836576608201,-0.006036998958722339,0.0,0.005,0.011760263126754166
23711,365,0.9139726027397261,0.9207047720025102,-0.006732169262784082,0.0,0.005,0.006959844978024748
37472,364,0.6186813186813187,0.6256540130269079,-0.006972694345589225,0.0,0.005,0.014533885435222809
29282,365,1.2978082191780822,1.306355412692495,-0.008547193514412799,0.0,0.005,0.006959844978024748
27648,365,0.9419178082191783,0.950704520061829,-0.008786711842650785,0.0,0.005,0.006959844978024748
22602,365,0.6175342465753424,0.6268127232367867,-0.009278476661444324,0.0,0.005,0.008410930758657127
27612,365,0.3400000000000001,0.3494485525439864,-0.0094485525439863,0.0,0.005,0.02012404470355175
26477,364,0.3826923076923077,0.3933270923074836,-0.010634784615175863,0.0,0.005,0.013423959706625369
28275,365,1.067945205479452,1.079607220679866,-0.011662015200413878,0.0,0.005,0.006959844978024748
22583,365,0.886027397260274,0.8980563039822531,-0.012028906721979093,0.0,0.005,0.008676660148371929
34880,365,0.4734246575342466,0.48636365442798307,-0.012938996893736454,0.0,0.005,0.026959844978024748
22802,365,0.3624657534246576,0.37547378902782824,-0.013008035603170653,0.0,0.005,0.010199369612123609
