station,rp5_mean,rp5_std,hydromet_mean,baseline_mae_train,baseline_bias_train,n_train,mae_base_mode_warm,mae_base_mode_cold,bias_base_mode_warm,bias_base_mode_cold,calib_mae_model,calib_mae_base,calib_bias_model,calib_gain_mean,n_calib,calib_gain_mode_warm,calib_gain_mode_cold,calib_mae_model_mode_warm,calib_mae_model_mode_cold,calib_mae_base_mode_warm,calib_mae_base_mode_cold,mae_year_mean,mae_year_std,mae_year_max,bias_year_std,years_count,cluster_id_v3
26063,6.722039698836413,8.945475612933805,7.207426420260095,0.6443189596167009,-0.4853867214236824,2922,0.6632593457943925,0.6175206611570248,-0.5203855140186916,-0.4358677685950413,0.4983153562553941,0.6131506849315069,-0.07091407549707862,0.11483532867611275,365,0.12402535710031193,0.10181104998221457,0.48859146532959463,0.5120962347859973,0.6126168224299067,0.613907284768212,0.6443518414551987,0.10994988520464496,0.8427397260273972,0.1179022352853951,8,0
26258,7.242458303118202,9.002283153206927,7.180058013052936,0.5079405366207397,0.062400290065264714,2758,0.49639143730886853,0.5247551202137133,0.06715596330275232,0.05547640249332147,0.7406540934253191,0.6767123287671233,-0.2706765207315616,-0.06394176465819577,365,-0.08331909117133304,-0.03647985820911382,0.6781789042554452,0.8291950899971934,0.5948598130841122,0.7927152317880795,0.5147774327214281,0.0981417449589481,0.6976119402985075,0.22438431192564343,8,0
26477,6.950140154169587,9.180149246261992,6.968360196215838,0.350385423966363,-0.01822004204625086,2854,0.3704316972205795,0.321238177128117,-0.02377291543465401,-0.010146173688736038,0.4089021625107278,0.3826923076923077,-0.06273967911729811,-0.026209854818420007,364,-0.03577915643402765,-0.0125576511801531,0.36848943680785945,0.46655765118015313,0.33271028037383177,0.45400000000000007,0.35050039547004486,0.054828325721554876,0.42189349112426033,0.013327547318304335,8,0
27037,4.395618838992333,10.442267584699698,4.357247170500183,0.6539247900693684,0.038371668492150415,2739,0.5762259466170081,0.7648936170212766,0.02675356921166978,0.05496453900709219,0.6835474915898802,0.6586301369863014,0.09158679312063153,-0.02491735460357875,365,-0.03177202770238423,-0.015202784781430586,0.5588748314407019,0.8602358973642121,0.5271028037383177,0.8450331125827815,0.6529492702084388,0.15721679186099263,0.7961538461538462,0.1489354195348992,8,0
27199,3.925008611780916,11.41276149188725,3.932965897347571,0.674646916982432,-0.007957285566655177,2903,0.5974148061104583,0.7840965861781848,-0.01856639247943595,0.007077435470441303,0.8190370578323938,0.8153424657534246,-0.10047965876502941,-0.0036945920789690687,365,-0.006301664764161639,1.9967355550003403e-07,0.6955540012127598,0.9940395354257822,0.6892523364485982,0.9940397350993377,0.6749226274877118,0.13131969714953992,0.789010989010989,0.020264758874499682,8,0
27333,1.3555021367521367,9.78951825846188,1.3424145299145298,0.6178952991452992,0.013087606837606855,1872,0.544822695035461,0.6620394173093402,-0.011489361702127636,0.02793487574978579,1.0560528369878006,1.066403162055336,0.6214099129602906,0.010350325067535419,253,0.026681544942855562,-0.006110507663938059,1.1370979826161998,0.9743644759179064,1.1637795275590552,0.9682539682539683,0.6545640507991339,0.14794233363428716,0.7731543624161074,0.06807556432974295,8,0
27459,6.045927446954141,10.59894636260949,5.975154004106777,0.8765229295003422,0.07077344284736482,2922,0.7950934579439253,0.9917355371900827,-0.04591121495327102,0.2358677685950413,0.9469764613562378,0.9583561643835616,0.00854394603106002,0.011379703027323787,365,-0.01704995216481895,0.05167073753804263,0.7553677091741647,1.218527937958646,0.7383177570093458,1.2701986754966885,0.8765186391196946,0.1691336304646294,1.037260273972603,0.11144710063622604,8,0
27595,5.4222717913520935,11.887710186192423,5.814070006863418,0.8359986273164035,-0.3917982155113246,2914,0.6317488262910798,1.1236363636363635,-0.281631455399061,-0.5469421487603305,0.815571985471139,0.8517808219178081,0.07158018359129817,0.03620883644666928,365,-0.020988926906182193,0.11727056729110778,0.512110422233285,1.2456433399936604,0.49112149532710275,1.362913907284768,0.8361589305607714,0.21387303692118237,1.0854794520547946,0.16463284292568264,8,0
27612,4.35136690647482,9.790495621398742,4.355587529976019,0.3048441247002398,-0.004220623501199033,2085,0.3242009132420091,0.29081885856079404,-0.05114155251141552,0.029776674937965267,0.36750804138330795,0.33999999999999997,0.007631450035961662,-0.027508041383307903,365,-0.04202381795440602,-0.006936013660029776,0.35183690206655555,0.3897174706136722,0.30981308411214953,0.3827814569536424,0.31633862170250965,0.07848191694605572,0.41440922190201723,0.035612793730146426,8,0
27648,0.9839210998206813,9.831681454047752,0.9821876867901973,0.6334130304841602,0.0017334130304841615,1673,0.5454720616570328,0.6729636048526864,-0.04913294797687859,0.02461005199306758,0.9494916684638824,0.9419178082191781,0.2305815464624663,-0.00757386024470428,365,-0.012062903111974619,-0.0012119054526787674,0.879819912457769,1.0482317730023474,0.8677570093457945,1.047019867549669,0.6697065058310796,0.1618649354745702,0.7780645161290323,0.026976767697549475,8,0
