station,status,n_test,baseline_RMSE,baseline_MAE,loso_RMSE,loso_MAE,loso_RMSE_gain_vs_baseline,loso_MAE_gain_vs_baseline
27037,ok,730,0.9965969493491613,0.6975342465753425,0.9823586400349533,0.6900071783146298,0.014238309314207998,0.007527068260712699
30252,ok,730,2.21723942886904,1.560958904109589,2.229959932211918,1.5537666146778215,-0.012720503342877887,0.007192289431767529
27199,ok,730,0.9733363044928692,0.7319178082191781,0.9648194332202407,0.7254945914101251,0.008516871272628568,0.006423216809053001
34391,ok,728,0.9159079444121896,0.6940934065934067,0.912608752348789,0.688176150786675,0.003299192063400569,0.005917255806731636
24944,ok,730,1.8226880645963306,1.3153424657534245,1.8067348663189509,1.3094596551199287,0.015953198277379732,0.0058828106334958274
22887,ok,730,1.202218269335185,0.831095890410959,1.1923615623784027,0.8264809199683335,0.009856706956782313,0.004614970442625488
31960,ok,730,1.7076820787815807,1.174931506849315,1.7081542112820844,1.1704936408893722,-0.00047213250050370803,0.004437865959942666
24343,ok,692,1.7862957765040115,1.2648843930635838,1.7872555075518108,1.2609867880665941,-0.0009597310477993393,0.0038976049969896565
24688,ok,730,2.299124312154462,1.6767123287671233,2.267380916737239,1.673256195677119,0.0317433954172226,0.003456133090004254
29612,ok,729,1.500493745898823,1.0670781893004115,1.491504978615286,1.0643445730473482,0.008988767283536925,0.0027336162530633423
28722,ok,724,0.9141233762251821,0.6705801104972376,0.9050927138515543,0.6681433480325893,0.009030662373627818,0.002436762464648301
31088,ok,730,1.262737838712006,0.9012328767123288,1.2510164897142835,0.8990146817676627,0.011721348997722592,0.0022181949446660187
23724,ok,729,1.4793688640564406,1.0233196159122087,1.4763477608973141,1.0211941388485506,0.0030211031591265147,0.0021254770636580655
32411,ok,730,1.6006462735878546,1.1653424657534248,1.598773365710861,1.1636100255777464,0.0018729078769936791,0.001732440175678418
32389,ok,730,1.5658032207232802,1.0752054794520547,1.5629735280673054,1.074009478671639,0.0028296926559747693,0.001196000780415707
23933,ok,730,1.3085022285773076,0.9406849315068494,1.3004336719479774,0.9396266009854608,0.008068556629330148,0.0010583305213885952
30372,ok,730,2.16277979423615,1.461917808219178,2.1620008317999018,1.4609897122773012,0.0007789624362484204,0.0009280959418767054
24507,ok,730,2.2337663997757518,1.6017808219178085,2.2433445290156433,1.6009537547403527,-0.009578129239891542,0.0008270671774557314
23711,ok,729,1.2002628884422537,0.8378600823045267,1.1990015818535322,0.8374988949121471,0.001261306588721478,0.0003611873923795583
28064,ok,729,1.0146999123920848,0.7617283950617283,1.0122688536186977,0.7615260621195529,0.002431058773387118,0.00020233294217542053
23405,ok,729,1.1371817979993173,0.8042524005486967,1.135644297762277,0.8041971690489831,0.0015375002370403568,5.523149971364827e-05
23921,ok,728,1.9179065109163647,1.329532967032967,1.9195314019101803,1.330580202456342,-0.0016248909938156864,-0.001047235423375037
23205,ok,730,1.3837412063053545,0.9728767123287672,1.3780469982957497,0.9741138795184049,0.00569420800960474,-0.0012371671896377334
23631,ok,730,1.1344421113964296,0.8671232876712329,1.1416101656132283,0.8692344155195425,-0.007168054216798669,-0.0021111278483095797
23804,ok,730,0.7912189313080634,0.575890410958904,0.789024320048261,0.5795355154303132,0.0021946112598024703,-0.0036451044714091996
27459,ok,730,1.023725401965848,0.7872602739726028,1.0209119062217007,0.7912617541297836,0.002813495744147243,-0.004001480157180826
29430,ok,730,0.8200484449438304,0.6143835616438356,0.8190203559777502,0.6191146428421361,0.0010280889660801984,-0.0047310811983005685
20891,ok,729,2.041671495753086,1.4587105624142662,2.062432512165118,1.4644236258317418,-0.020761016412031985,-0.005713063417475572
22602,ok,730,0.704087868115477,0.4694520547945206,0.7105990660593541,0.4767074836976826,-0.006511197943877112,-0.007255428903161998
22217,ok,730,0.9041532783134347,0.5636986301369862,0.9038080927407112,0.5719419289912632,0.0003451855727235609,-0.008243298854276992
22583,ok,730,0.9585091162985343,0.7027397260273973,0.958734539016148,0.7113238018791332,-0.00022542271761372135,-0.008584075851735928
31388,ok,669,1.7289584896387398,1.278624813153961,1.7392087350128886,1.2873045457053116,-0.01025024537414887,-0.008679732551350572
22550,ok,730,0.8449852069711044,0.6257534246575344,0.8505144394822932,0.6344850303330427,-0.005529232511188864,-0.008731605675508347
33008,ok,730,0.5996917016153396,0.43438356164383557,0.5669750793252181,0.44475695300429474,0.03271662229012151,-0.010373391360459172
23324,ok,730,1.5068110206840122,1.0653424657534247,1.5159041287999384,1.0775594653554377,-0.00909310811592623,-0.012216999602012946
30230,ok,728,1.8287838990571166,1.2387362637362638,1.851969940997173,1.250961002961948,-0.023186041940056468,-0.012224739225684234
22641,ok,729,1.151589823715479,0.83360768175583,1.1606405822324735,0.846333828839735,-0.00905075851699455,-0.01272614708390496
