station,n_calib,mae_model,mae_baseline,mae_seasonal,best_fallback,fallback_mae,use_fallback,calib_margin_to_fallback
23418,364,1.074725274725275,1.074725274725275,1.1130914350792123,baseline,1.074725274725275,1,0.0
23405,365,0.9263013698630135,0.9263013698630135,0.9509282534706777,baseline,0.9263013698630135,1,0.0
23324,365,1.0906849315068494,1.0906849315068494,1.1399997098678558,baseline,1.0906849315068494,1,0.0
24125,364,0.6497252747252746,0.6497252747252746,0.7479740600546675,baseline,0.6497252747252746,1,0.0
23711,365,0.9139726027397261,0.9139726027397261,0.9447864351085182,baseline,0.9139726027397261,1,0.0
22583,365,0.886027397260274,0.886027397260274,0.9163308216095865,baseline,0.886027397260274,1,0.0
22641,365,0.9123287671232877,0.9123287671232877,0.9346139914000924,baseline,0.9123287671232877,1,0.0
22602,365,0.6175342465753424,0.6175342465753424,0.6610571300842358,baseline,0.6175342465753424,1,0.0
23804,365,0.682191780821918,0.682191780821918,0.7269443817498201,baseline,0.682191780821918,1,0.0
24641,364,1.320054945054945,1.320054945054945,1.3251493425118852,baseline,1.320054945054945,1,0.0
24738,364,1.4505494505494505,1.4505494505494505,1.4536466645108397,baseline,1.4505494505494505,1,0.0
27648,365,0.9419178082191783,0.9419178082191783,0.986939411450406,baseline,0.9419178082191783,1,0.0
28064,365,0.9076712328767123,0.9076712328767123,0.9284310505419539,baseline,0.9076712328767123,1,0.0
27947,327,1.0553516819571866,1.0553516819571866,1.0994480580619335,baseline,1.0553516819571866,1,0.0
28411,327,0.9865443425076453,0.9865443425076453,1.02137363235693,baseline,0.9865443425076453,1,0.0
28275,365,1.067945205479452,1.067945205479452,1.0824270339452753,baseline,1.067945205479452,1,0.0
26477,364,0.3826923076923077,0.3826923076923077,0.4295182222628857,baseline,0.3826923076923077,1,0.0
28493,365,1.0054794520547945,1.0054794520547945,1.0676322858770164,baseline,1.0054794520547945,1,0.0
27199,365,0.8153424657534247,0.8153424657534247,0.8218564816472178,baseline,0.8153424657534247,1,0.0
27037,365,0.6586301369863014,0.6586301369863014,0.7198720995360888,baseline,0.6586301369863014,1,0.0
26258,365,0.6767123287671234,0.6767123287671234,0.733426501081243,baseline,0.6767123287671234,1,0.0
22820,365,0.45999999999999996,0.45999999999999996,0.5308127654170853,baseline,0.45999999999999996,1,0.0
23205,364,1.0483516483516482,1.0483516483516482,1.0744907515081168,baseline,1.0483516483516482,1,0.0
22887,364,0.9054945054945056,0.9054945054945056,0.9271578067243852,baseline,0.9054945054945056,1,0.0
34646,327,0.8348623853211009,0.8348623853211009,0.8750250210533215,baseline,0.8348623853211009,1,0.0
34123,365,0.6342465753424658,0.6342465753424658,0.638264172876113,baseline,0.6342465753424658,1,0.0
34880,365,0.4734246575342466,0.4734246575342466,0.4996023036622356,baseline,0.4734246575342466,1,0.0
33008,365,0.4208219178082191,0.4208219178082191,0.5134014164976339,baseline,0.4208219178082191,1,0.0
34009,327,0.9467889908256881,0.9467889908256881,0.9796654655993725,baseline,0.9467889908256881,1,0.0
32165,365,0.8424657534246576,0.8424657534246576,0.8572501825032008,baseline,0.8424657534246576,1,0.0
37099,179,0.8184357541899442,0.8184357541899442,0.843004504736897,baseline,0.8184357541899442,1,0.0
