station,n,baseline_mae,xgb_mae,gain,alpha
27199,365,0.8153424657534247,0.83344803861151,-0.018105572858085228,0.0
23472,365,1.5046575342465756,1.5232923232896687,-0.018634789043093125,0.0
23711,365,0.9139726027397261,0.9330211808256906,-0.019048578085964496,0.0
22602,365,0.6175342465753424,0.6371432989315219,-0.01960905235617949,0.0
24507,364,1.6873626373626376,1.7091960922866078,-0.021833454923970264,0.0
30758,365,0.9413698630136985,0.9639606989254818,-0.022590835911783236,0.0
27823,365,0.8172602739726026,0.8400569186660729,-0.022796644693470314,0.0
27612,365,0.3400000000000001,0.3678916268030258,-0.027891626803025704,0.0
28493,365,1.0054794520547945,1.0336038814342186,-0.028124429379424054,0.0
34824,365,0.7293150684931509,0.7580806940549041,-0.028765625561753216,0.0
33008,365,0.4208219178082191,0.45068007988370445,-0.02985816207548536,0.0
27037,365,0.6586301369863014,0.6887328474334609,-0.03010271044715951,0.0
24343,363,1.3575757575757577,1.38952583453872,-0.03195007696296237,0.0
28698,365,0.9041095890410958,0.9389633564487713,-0.03485376740767543,0.0
23324,365,1.0906849315068494,1.1279140366746547,-0.03722910516780531,0.0
34391,365,0.9169863013698628,0.9542302267875982,-0.03724392541773536,0.0
22802,365,0.3624657534246576,0.4010347293888869,-0.03856897596422931,0.0
26477,364,0.3826923076923077,0.4246800288619412,-0.04198772116963345,0.0
22820,365,0.45999999999999996,0.508398257200032,-0.04839825720003199,0.0
22217,365,0.6638356164383561,0.712550758854167,-0.048715142415810875,0.0
34861,365,0.575890410958904,0.6314783586469823,-0.05558794768807829,0.0
37472,364,0.6186813186813187,0.6826761771771279,-0.06399485849580921,0.0
34009,327,0.9467889908256881,1.011723885427739,-0.06493489460205093,0.0
26258,365,0.6767123287671234,0.7485989819201705,-0.0718866531530471,0.0
34646,327,0.8348623853211009,0.9077095376857378,-0.0728471523646369,0.0
24125,364,0.6497252747252746,0.7598983461262433,-0.11017307140096866,0.0
34880,365,0.4734246575342466,0.5892517005992185,-0.11582704306497188,0.0
37099,179,0.8184357541899442,0.9435092738220812,-0.12507351963213698,0.0
24688,365,1.8846575342465757,2.013615299059104,-0.1289577648125282,0.0
24266,365,2.0021917808219176,2.157885804747882,-0.15569402392596432,0.0
20674,365,0.7863013698630137,1.017095822471462,-0.23079445260844822,0.0
