station,n,baseline_mae,ridge_mae,gain,alpha
27648,365,0.9419178082191783,0.967759721560484,-0.0258419133413057,0.0
28661,365,0.8473972602739724,0.874390242488931,-0.026992982214958605,0.0
20674,365,0.7863013698630137,0.8137242260655599,-0.027422856202546253,0.0
22602,365,0.6175342465753424,0.6458256542192882,-0.028291407643945776,0.0
27612,365,0.3400000000000001,0.369897336910929,-0.02989733691092894,0.0
27333,253,1.066403162055336,1.0980553175944412,-0.031652155539105165,0.0
26477,364,0.3826923076923077,0.415600515974901,-0.032908208282593276,0.0
30758,365,0.9413698630136985,0.9758401634885155,-0.03447030047481703,0.0
22802,365,0.3624657534246576,0.39766294567810356,-0.035197192253445975,0.0
28493,365,1.0054794520547945,1.0410358099929105,-0.03555635793811596,0.0
34139,179,1.2016759776536314,1.2380644201778956,-0.03638844252426421,0.0
32165,365,0.8424657534246576,0.8795251828614656,-0.03705942943680807,0.0
27037,365,0.6586301369863014,0.6984198301204523,-0.03978969313415093,0.0
26258,365,0.6767123287671234,0.7168758613260161,-0.04016353255889271,0.0
22820,365,0.45999999999999996,0.5019324743077177,-0.04193247430771774,0.0
27823,365,0.8172602739726026,0.8601820423696014,-0.042921768396998794,0.0
24738,364,1.4505494505494505,1.4972036471915775,-0.046654196642127,0.0
22217,365,0.6638356164383561,0.7110320224349174,-0.047196405996561275,0.0
24641,364,1.320054945054945,1.3736894908434332,-0.05363454578848814,0.0
24125,364,0.6497252747252746,0.7282396635482832,-0.07851438882300854,0.0
33008,365,0.4208219178082191,0.5007133994984115,-0.07989148169019245,0.0
