station,n_train,rp5_mean,rp5_std,hydromet_mean,baseline_mae,baseline_bias,cluster_id
30925,2767,0.9216118539934948,14.612133148347022,0.9239248283339356,1.1614745211420312,-0.002312974340440896,2
30949,2809,-0.3639017443930224,14.451803183523495,-0.35368458526165897,1.346137415450338,-0.01021715913136346,2
31088,2921,-2.9458062307428965,12.807142312840305,-2.9129750085587127,0.9325915782266349,-0.032831222184183516,2
31168,2822,-1.6410347271438697,11.656445808344722,-1.6157689581856838,1.1431254429482636,-0.025265768958185702,2
31369,2850,-1.156,14.394725039072794,-1.1230526315789473,1.4057192982456144,-0.032947368421052635,2
31510,2920,2.40527397260274,15.734584496933326,2.4245547945205477,0.9425000000000001,-0.01928082191780819,2
31594,2871,0.5968303726924417,17.133853861233767,0.6235458028561477,1.3493207941483805,-0.02671543016370604,2
31707,2673,2.216573138795361,14.778092802353834,2.234904601571268,1.2464646464646465,-0.018331462775907217,2
31873,2566,3.904988308651598,14.636722704223462,3.914419329696025,1.2530787217459078,-0.009431021044427123,2
31915,2888,5.127596952908587,12.819851014023964,5.162430747922437,1.1891274238227145,-0.03483379501385044,2
32061,2864,1.6446229050279328,11.86440708584655,1.6765363128491622,1.2369413407821228,-0.03191340782122902,2
32098,2860,1.09993006993007,11.39122254312228,1.1362587412587413,1.31493006993007,-0.03632867132867133,2
32389,2306,-1.9136600173460536,11.561133926279371,-1.8748482220294882,1.2922376409366867,-0.038811795316565506,2
32411,2081,0.06434406535319556,9.093311529996218,0.07823161941374339,1.0552138395002404,-0.013887554060547813,2
