station,n,baseline_mae,xgb_delta_mae,gain,alpha
23205,364,1.0483516483516482,1.0522063588906958,-0.0038547105390476233,0.0
27199,365,0.8153424657534247,0.8202626142936618,-0.004920148540237035,0.0
34880,365,0.4734246575342466,0.4803521364668307,-0.006927478932584108,0.0
29430,365,0.6326027397260273,0.6404771249218244,-0.007874385195797085,0.0
22583,365,0.886027397260274,0.8952030107590422,-0.009175613498768165,0.0
27648,365,0.9419178082191783,0.9530195930325236,-0.011101784813345339,0.0
23418,364,1.074725274725275,1.0859119223902811,-0.01118664766500621,0.0
23804,365,0.682191780821918,0.6941434893848325,-0.011951708562914498,0.0
20891,365,1.3630136986301367,1.376335313772266,-0.013321615142129373,0.0
33008,365,0.4208219178082191,0.4385882662335882,-0.017766348425369116,0.0
23711,365,0.9139726027397261,0.9321687963145645,-0.01819619357483837,0.0
32389,365,1.043013698630137,1.062330377213601,-0.019316678583463975,0.0
37472,364,0.6186813186813187,0.6392705093322137,-0.02058919065089504,0.0
27823,365,0.8172602739726026,0.838975522207648,-0.021715248235045448,0.0
27612,365,0.3400000000000001,0.36199571346009335,-0.02199571346009327,0.0
26477,364,0.3826923076923077,0.4055391400600887,-0.022846832367780956,0.0
22602,365,0.6175342465753424,0.640993931845025,-0.023459685269682562,0.0
30758,365,0.9413698630136985,0.9649460231507682,-0.023576160137069646,0.0
27037,365,0.6586301369863014,0.682659052402891,-0.02402891541658969,0.0
28698,365,0.9041095890410958,0.9313294682080843,-0.027219879166988425,0.0
22802,365,0.3624657534246576,0.39035213053179424,-0.02788637710713665,0.0
23324,365,1.0906849315068494,1.1201985693087624,-0.029513637801912962,0.0
28493,365,1.0054794520547945,1.0435220011640085,-0.03804254910921401,0.0
22820,365,0.45999999999999996,0.49813587571255064,-0.03813587571255067,0.0
22217,365,0.6638356164383561,0.7094280605903851,-0.04559244415202901,0.0
24125,364,0.6497252747252746,0.7049138928045885,-0.055188618079313856,0.0
26258,365,0.6767123287671234,0.7424473445492554,-0.06573501578213203,0.0
20674,365,0.7863013698630137,0.9621090043828605,-0.17580763451984682,0.0
