station,overlap_rows,overlap_years,date_min,date_max,baseline_mae,baseline_rmse,baseline_bias,exact_equal_ratio,abs_delta_median,abs_delta_max
28138,3102,11,2013-01-01,2023-12-31,1.2329464861379755,1.7177234420417569,0.6385557704706641,0.08317214700193423,0.8000000000000007,10.5
28434,3101,11,2013-01-01,2023-12-31,1.1554014833924542,1.683381411463013,0.16894550145114476,0.08868107062237987,0.8,10.899999999999999
23921,3094,11,2013-01-01,2023-12-31,1.0947963800904978,1.5845294816085371,0.11393018745959921,0.08177117000646413,0.7999999999999998,11.9
29570,2916,10,2013-01-01,2023-12-31,1.502400548696845,2.097779543313758,-0.9176954732510288,0.07887517146776406,1.0999999999999996,10.7
27333,2853,11,2013-01-01,2023-12-31,0.7492464072905715,1.0595814899071911,0.20686996144409395,0.1023484051875219,0.5999999999999996,13.8
37031,2848,11,2013-01-01,2023-12-31,0.6561095505617978,0.9033917052052824,0.04515449438202246,0.11411516853932584,0.5,5.1
27648,2766,11,2013-01-01,2023-12-31,0.744070860448301,1.05084581847244,0.12758496023138108,0.10448300795372378,0.5999999999999996,11.1
27823,2729,11,2013-01-01,2023-12-31,0.7149138878710151,0.9992631950304532,0.07805056797361672,0.11542689629901062,0.5,5.8999999999999995
34824,2720,11,2013-01-01,2023-12-31,0.597389705882353,0.8118175867260127,0.001286764705882353,0.11029411764705882,0.5,4.800000000000001
34391,2708,11,2013-01-01,2023-12-31,0.8007754800590842,1.1434596626029272,0.12322747415066472,0.10967503692762186,0.5999999999999996,5.799999999999999
37472,2509,11,2013-01-01,2023-12-31,0.5996014348345954,0.9704070879282133,0.09868473495416502,0.1478676763650857,0.3999999999999986,17.0
37235,2430,8,2013-01-01,2023-12-31,0.8522633744855967,1.0564051162065267,0.6883127572016461,0.09917695473251029,0.8,5.4
29430,1836,6,2013-01-01,2023-12-31,0.555119825708061,0.7709457169444198,-0.007516339869281075,0.13725490196078433,0.40000000000000036,5.0
27947,687,3,2013-01-01,2022-06-30,0.7454148471615721,1.0998676643964316,-0.06797671033478896,0.2823871906841339,0.5,5.2
34009,687,3,2013-01-01,2022-06-30,0.7687045123726348,1.2214661769950654,-0.3491994177583697,0.29112081513828236,0.5,7.299999999999999
34646,687,3,2013-01-01,2022-06-30,0.6537117903930131,0.9893538096650207,0.23013100436681222,0.28093158660844253,0.40000000000000036,4.5
28411,657,3,2013-01-01,2022-06-30,0.7910197869101979,1.1815360329927624,-0.19923896499238966,0.2557077625570776,0.5999999999999999,6.399999999999999
34139,539,3,2013-01-01,2022-06-30,0.7987012987012987,1.2169260827630786,0.6695732838589981,0.35992578849721707,0.5,5.4
37099,539,3,2013-01-01,2022-06-30,0.6001855287569572,0.9642496385748097,-0.237291280148423,0.35992578849721707,0.3000000000000007,4.800000000000001
30555,360,3,2013-01-01,2022-04-01,7.7625,9.361438339153754,7.7625,0.25,8.75,19.299999999999997
